fam,var,n,n_big,slope_per_deg,r2_all,r2_big,r2_flatter,r2_steeper
CH,IVB,1235,445,0.1971607326348637,0.15807746700027048,0.2614284607125882,0.1034316973874555,-0.0218858787873768
CH,HB_arm,1235,445,0.05043380067330319,0.032898553813730635,0.06475139720016343,0.04145590585948311,-0.027440359283171345
CH,release_pos_z,1235,445,0.043853282396129165,0.5334678204760871,0.721490845789411,0.378097584782097,0.33870517245346854
CH,rx_arm,1235,445,-0.01275687109701549,0.07193212604045918,0.10917466245114038,0.00012794730953846756,0.007142497364669764
CH,VRA,1235,445,-0.07900409673413468,0.20061625488133294,0.32714610606285344,0.13054093772408448,0.13320695016802764
CH,HRA,1235,445,0.03578677941764708,0.07941224035076455,0.1332085507444991,0.15107049342138112,0.08527760231665038
CH,VAA,1235,445,-0.015504686969042709,-0.008078160426390646,-0.016632195261983673,-0.012417374907543133,-0.02357383311735628
CH,VAA_AA_pt,1235,445,-0.01595931455264266,0.01499426068131271,0.033669800057759214,-0.007568261351606154,-0.006346882315010127
CH,axis_m,1233,444,0.9324108730023916,0.34714472928507145,0.5250882787519863,0.18814113940400035,0.0891627146544075
CH,release_speed,1235,445,0.123626180823681,0.004151683521146032,-0.006995983844667153,-0.0024030270811874477,-0.013280039244490727
CH,active_spin,1233,444,-0.0012164363815391997,-0.007009739310178675,-0.01513468476934765,-0.013486493459442972,-0.017709960074500097
CH,release_extension,1235,445,0.00596747566980836,0.008406810760236416,0.01127778777908528,-0.012745983629144808,0.01809954368528577
CU,IVB,766,248,-0.205293591266955,0.038556758660139745,0.09076087883370743,0.018116702090345993,-0.07546572213527614
CU,HB_arm,766,248,-0.06234177095968455,0.1050888941792667,0.22702806995150615,0.11397699692059371,-0.03800224318194445
CU,release_pos_z,766,248,0.044425439254806215,0.424942803388502,0.6230793139688271,0.2310824277096376,0.2911468888983455
CU,rx_arm,766,248,0.012986098363519811,0.041754221774858324,0.04662526646595544,0.018086505771888972,-0.0686079128299597
CU,VRA,766,248,-0.01772190492022106,-0.0062685404248665755,-0.009838213373028148,-0.030016500547633607,-0.027176175104830058
CU,HRA,766,248,0.022107320108011714,-0.003085797655431266,-0.05057732226249079,-0.029207858810788245,-0.08846655696400152
CU,VAA,766,248,-0.04633165714976433,0.1105831065732944,0.25345639241073814,0.04765387711584568,-0.09534643088010664
CU,VAA_AA_pt,766,248,-0.05455759881752885,0.1346286485958219,0.2870722807523993,0.0716999547480508,0.010587119504829157
CU,axis_m,762,244,0.7517449305148465,0.099886381805664,0.32682867288296147,0.05554076051075807,-0.0897933831741431
CU,release_speed,766,248,0.04607289916541212,0.0043474462139203585,-0.00868210634874611,-0.028570845297222647,-0.07548738728826843
CU,active_spin,762,244,0.007172829146214357,-0.012206839316488693,-0.017386372264129868,-0.020072797211850846,-0.055139268888086734
CU,release_extension,766,248,0.012275592306261565,-0.00624488722883676,0.0032387451286242097,-0.003214210477179291,-0.023005420673835042
FC,IVB,689,212,0.08521820786427652,-0.004629091633660654,-0.010912605100579453,0.005412106967092933,-0.03181838562311401
FC,HB_arm,689,212,0.05736259800733268,0.004806378828292157,0.034221204401142624,-0.006269774284380691,-0.01474107825100135
FC,release_pos_z,689,212,0.04011637637840301,0.5288056904663683,0.7176119104295182,0.3726615814815105,0.3755495861956428
FC,rx_arm,689,212,0.004309795353779603,0.15272874419108595,0.2615720192907556,0.09462738603421328,0.03443572903850578
FC,VRA,689,212,-0.07453294044658981,0.1703026390991691,0.3415116207399169,0.037540249795171565,0.06324682407231497
FC,HRA,689,212,0.049052818976317074,0.1504172641695991,0.3076420620578816,0.2747909346731652,0.21271494733389817
FC,VAA,689,212,-0.045664322732867337,0.07434486759599701,0.19342456509196015,0.0463553972181211,0.04862824003629729
FC,VAA_AA_pt,689,212,-0.0218316011374719,0.08103048805655133,0.16873126120462234,0.08531237682553561,0.05617335450816474
FC,axis_m,686,212,2.2394046919762425,0.003952253545180917,0.015633822502571726,-0.05262591730733712,-0.04389085003183579
FC,release_speed,689,212,0.08219877809478858,-0.004469155442343498,0.006701417741779903,0.03368416779533845,-0.03912460141210383
FC,active_spin,686,212,0.0034086523531548178,-0.0027340297778633005,-0.01941404362618515,-0.04110877709850147,-0.05813990478348807
FC,release_extension,689,212,0.003559463390695632,-0.002996809426153657,-0.012124484253222878,-0.0183631651486178,-0.016996231914046867
FC,AzOE,689,212,0.07252675432221442,-0.004761774579545408,-0.004070298795937566,0.01957901854428279,-0.02828549470677766
FC,AxOE,689,212,-0.1272796218050869,-0.03260543737005972,-0.06998372460139102,-0.11483576249731176,-0.011238370220274518
FF,IVB,2394,805,0.18419108835602419,0.16034316966948792,0.298392068265803,0.10294533941899497,0.0937290942361847
FF,HB_arm,2394,805,-0.09500421455275082,0.19835091032052998,0.3514170783308358,0.09689339278484621,0.04147707025802294
FF,release_pos_z,2394,805,0.03991274524128814,0.5014738507150356,0.6974710526713604,0.36390387541050473,0.34136314267489287
FF,rx_arm,2394,805,-0.00882057693455018,0.09388250390728847,0.19019159086106496,0.057293902303916844,0.007818048794436372
FF,VRA,2394,805,-0.07681231287340734,0.31171552689120363,0.5080613733158077,0.21952612365516488,0.16602102555162745
FF,HRA,2394,805,0.056329299017899674,0.13967031212359826,0.27263284826332757,0.2314543911571908,0.2765138799050276
FF,VAA,2394,805,-0.02609087990910622,0.08063746275192707,0.18048193589719697,0.055262715932430595,0.0025448988483359747
FF,VAA_AA_pt,2394,805,-0.015912969359811905,0.09386044167327556,0.19878204888287032,0.06552159428762794,0.033271368436560866
FF,axis_m,2390,802,0.8874469294297463,0.5053873512774418,0.6894724328265154,0.30174389356805853,0.25044734181612094
FF,release_speed,2394,805,0.10356833883247901,0.015358253149314938,0.020035875144343684,0.026778975731866272,0.00772080789428653
FF,active_spin,2390,802,0.0005020682137997113,0.004740760704721847,0.015170407699730215,0.00808465070447395,0.003930767550459291
FF,release_extension,2394,805,0.005539830269330052,0.004961085552232292,0.011153492360237882,-0.010401566042865129,0.0004263307457386123
FF,AzOE,2394,805,0.09512539373268783,0.07192416810614255,0.1490869124609815,0.027528755343943057,0.03152981820753531
FF,AxOE,2394,805,-0.17985482454124116,0.0982976020105697,0.1759604664477319,0.11360806657330247,0.20201200393454166
FS,IVB,242,82,-0.07656163009547601,0.03772477565081056,0.1645646359936107,0.069112216875168,-0.14237864889683083
FS,HB_arm,242,82,-0.011711920292299479,-0.047251709548376875,-0.09060188167507555,-0.08862741660762463,-0.10364450681501025
FS,release_pos_z,242,82,0.028514674992551316,0.4881409705665386,0.6539928880270197,0.35725169213332486,0.057548247531416186
FS,rx_arm,242,82,-0.02343592311911761,0.05014454195361184,0.13435725932866383,-0.049597762114684585,0.041609882494047845
FS,VRA,242,82,-0.02565794258987123,0.16407025971388678,0.3124940580000255,0.17817679304287304,-0.19533898670139127
FS,HRA,242,82,0.09048594227617518,0.0005039245850699814,-0.01031451655684168,0.004291883988635448,-0.07923851921945424
FS,VAA,242,82,-0.0054290870104021826,-0.05186654933153623,-0.12774697153250725,-0.20610696683174057,-0.07300733570718232
FS,VAA_AA_pt,242,82,-0.012879724848093679,-0.06316445092065814,-0.12991689262172113,-0.1368088212324312,-0.1254293936979065
FS,axis_m,236,79,-0.6927834534865638,0.11073083930644312,0.3458760864069388,0.19979296253582934,-0.2719721243545843
FS,release_speed,242,82,0.18463563374119749,-0.05504966089334773,-0.059103620331517615,-0.10515613599318296,-0.04186755869053127
FS,active_spin,236,79,0.006907930262094888,0.0009594596627098273,0.046693484681716635,0.05586062300864514,0.006854740432060469
FS,release_extension,242,82,0.017044145702133705,-0.021581377753861153,-0.03155330186732974,-0.054548013115937266,-0.05178657522910468
KC,IVB,207,67,-0.05375215589463804,-0.025923395552877704,-0.055934131551044874,-0.13081882664648692,-0.14341722468307583
KC,HB_arm,207,67,0.04270183949155518,-0.07093794609668747,-0.10583111124921651,-0.2143231411693045,-0.035185531034823914
KC,release_pos_z,207,67,0.030455531883192583,0.4582998661418318,0.6440636308710193,0.1543396535797238,0.020699181770556296
KC,rx_arm,207,67,-0.014267312116590035,-0.033785163820358344,-0.08782598868633462,-0.15816568688090116,-0.10979688671879062
KC,VRA,207,67,-0.06553766235041254,-0.0672934266281291,-0.09291279278236364,-0.19416931613909694,-0.024137421404879067
KC,HRA,207,67,0.004816888661438587,-0.07148456697964733,-0.14505772280963747,-0.18743326710397712,-0.17806653426720587
KC,VAA,207,67,-0.027437217416242388,0.1523488881824785,0.336255232170226,0.11486853372736872,0.06326649306634058
KC,VAA_AA_pt,207,67,-0.011584386394648049,0.1192505370839464,0.2998842253206231,0.0218979084999098,-0.010896049721456746
KC,release_speed,207,67,0.21693405462978216,-0.007333279531728021,0.03389612132978681,-0.06446854146540826,-0.10464141733017907
KC,release_extension,207,67,0.0015141239406057207,-0.0631848611841066,-0.09335058854718259,-0.0579675593623985,-0.1572380495857375
SI,IVB,1378,515,0.2742064398364572,0.37517639121692503,0.5348554744705936,0.2365981587734246,0.17242616654952836
SI,HB_arm,1378,515,0.04190648952002133,0.14359185161069077,0.2528545031530508,0.19962418861147113,0.1172434623994244
SI,release_pos_z,1378,515,0.03813599301036265,0.60200223272339,0.7457373910372693,0.4059825875494415,0.44270659051964634
SI,rx_arm,1378,515,-0.021246048311510616,0.11372932967894678,0.18897433951378984,0.0824324075880365,0.012896437251436632
SI,VRA,1378,515,-0.07346088155963863,0.42689866313045943,0.6024428513099429,0.23226376652754854,0.24354196842117448
SI,HRA,1378,515,0.04736289509835809,0.1269207442196657,0.22470339136503037,0.2618523483655679,0.10364580326742234
SI,VAA,1378,515,-0.0020286557251128433,-0.007932700401902304,-0.006773791889869152,-0.016930490854639935,0.0014362335133145665
SI,VAA_AA_pt,1378,515,-0.003307949801042296,-0.007441387905780861,-0.010367787441559084,-0.021212618247628212,-0.014514825585451918
SI,axis_m,1371,511,0.9092370609445035,0.5339405542740063,0.697229747117098,0.3814250732514102,0.3481336806748444
SI,release_speed,1378,515,0.12380933321821287,0.035630213843466096,0.06920220364550056,0.046474450197702244,0.01081365560732439
SI,active_spin,1371,511,0.000461397940017876,0.003383754606818834,0.007213559954642124,0.0015812367309749886,-0.0027215328061660493
SI,release_extension,1378,515,0.00722518341665957,0.015413586098435572,0.03559161637698938,0.0031788339710908664,0.003793535635577272
SI,AzOE,1378,515,0.07230040939580337,0.16748114153730076,0.27557151034943717,0.10070540192628297,0.07879244335990598
SI,AxOE,1378,515,-0.11694253296683907,0.03564186525418833,0.033528270997534415,0.015681231329691125,0.05155339182887575
SL,IVB,2090,765,-0.17099140918239072,0.028231939507415316,0.055265945864944044,0.020061649130004078,0.0029186876158630026
SL,HB_arm,2090,765,0.015483490427055316,0.009866824950470643,0.0233667539584832,0.008478211384994494,-0.0033941815100055894
SL,release_pos_z,2090,765,0.03877533959191746,0.5598609516052024,0.7174528278916936,0.36943683007662076,0.3551439665530327
SL,rx_arm,2090,765,-0.017163918102333732,0.0968845977150381,0.16065837335151578,0.04940385827044913,0.0185019786530779
SL,VRA,2090,765,-0.04826285316154034,0.09048571842523345,0.1758326783013877,0.017260626078441144,0.017359572605791462
SL,HRA,2090,765,0.01898067246023805,0.03922479731309103,0.050924339910891514,0.003591859967242872,0.10220696910917981
SL,VAA,2090,765,-0.05560950993672583,0.1148094819737131,0.2107576684282716,0.06562952618310869,0.04529372885107874
SL,VAA_AA_pt,2090,765,-0.041422429301560704,0.13349951846705332,0.23894156254231724,0.07254402053426312,0.07578507735696138
SL,axis_m,2085,763,0.6902947606277848,-0.005728727062611627,-0.012227863310977583,-0.013985428305410164,-0.008522247486027812
SL,release_speed,2090,765,0.10483720259015797,0.0006490338148353869,0.007060143197977986,0.0020625949998881454,-0.01740822422781818
SL,active_spin,2085,763,0.0020256981143522107,-0.006099502455187089,-0.007839191174943583,-0.010000626155382442,-0.006440595723142373
SL,release_extension,2090,765,0.007774326613739861,0.0023574276150738482,0.008769621708439868,-0.014087517545496864,0.001673497058455875
